id;training_name;training_mode;training_type;training_start_date;traing_end_date;training_year;training_registration
1;zero;Associate card Concrete;China;2021-12-28;2021-12-27;Mouse mobile Car;false
2;navigating Mobility;Triple-buffered compress;Regional Salad Home;2021-12-28;2021-12-28;eco-centric Plastic heuristic;false
3;Home ability;Iran;revolutionize Rubber back-end;2021-12-27;2021-12-28;supply-chains Marketing migration;true
4;Home Lesotho Cambridgeshire;withdrawal strategic Loan;Montana transmitting payment;2021-12-28;2021-12-28;Bedfordshire;true
5;Computer;Island Massachusetts Home;portals;2021-12-27;2021-12-27;Technician neural Multi-lateral;false
6;middleware Intelligent Operations;Bedfordshire calculate;USB Steel;2021-12-27;2021-12-28;Jewelery harness Loan;false
7;metrics Stravenue Frozen;Front-line Card;maximize;2021-12-27;2021-12-27;Motorway mobile;false
8;feed reboot relationships;service-desk;Chair Loan;2021-12-28;2021-12-27;Path;true
9;Coves Berkshire Assurance;copy;Proactive;2021-12-27;2021-12-28;Bedfordshire Senior Extended;true
10;Paradigm vertical;Associate to;Awesome Credit navigate;2021-12-27;2021-12-27;Buckinghamshire;true
